Company name,ASX code,GICS industry group
"ISHARES S&P MID-CAP ETF",IJH,"Not Applic"
"MOQ LIMITED",MOQ,"Software & Services"
"1-PAGE LIMITED",1PG,"Software & Services"
"1300 SMILES LIMITED",ONT,"Health Care Equipment & Services"
"1ST GROUP LIMITED",1ST,"Health Care Equipment & Services"
"333D LIMITED",T3D,"Food, Beverage & Tobacco"
"360 CAPITAL GROUP",TGP,"Real Estate"
"360 CAPITAL TOTAL RETURN FUND",TOT,"Not Applic"
"3D OIL LIMITED",TDO,"Energy"
"3D RESOURCES LIMITED",DDD,"Materials"
"3P LEARNING LIMITED..",3PL,"Consumer Services"
"4DS MEMORY LIMITED",4DS,"Semiconductors & Semiconductor Equipment"
"88 ENERGY LIMITED",88E,"Energy"
"8COMMON LIMITED",8CO,"Software & Services"
"8I HOLDINGS LTD",8IH,"Diversified Financials"
"8IP EMERGING COMPANIES LIMITED",8EC,"Not Applic"
"9 SPOKES INTERNATIONAL LIMITED",9SP,"Software & Services"
"99 WUXIAN LIMITED",NNW,"Retailing"
"A-CAP RESOURCES LIMITED",ACB,"Energy"
"A1 INVESTMENTS & RESOURCES LTD",AYI,"Diversified Financials"
"ABACUS PROPERTY GROUP",ABP,"Real Estate"
"ABERDEEN LEADERS LIMITED",ALR,"Diversified Financials"
"ABILENE OIL AND GAS LIMITED",ABL,"Energy"
"ABM RESOURCES NL",ABU,"Materials"
"ABSOLUTE EQUITY PERFORMANCE FUND LIMITED",AEG,"Not Applic"
"ABUNDANT PRODUCE LIMITED",ABT,"Food, Beverage & Tobacco"
"ACACIA COAL LIMITED",AJC,"Energy"
"ACADEMIES AUSTRALASIA GROUP LIMITED",AKG,"Consumer Services"
"ACCENT RESOURCES NL",ACS,"Materials"
"ACONEX LIMITED",ACX,"Software & Services"
"ACORN CAPITAL INVESTMENT FUND LIMITED",ACQ,"Not Applic"
"ACRUX LIMITED",ACR,"Pharmaceuticals, Biotechnology & Life Sciences"
"ACTINOGEN MEDICAL LIMITED",ACW,"Pharmaceuticals, Biotechnology & Life Sciences"
"ACTIVEX LIMITED",AIV,"Materials"
"ACTIVISTIC LIMITED",ACU,"Software & Services"
"ADACEL TECHNOLOGIES LIMITED",ADA,"Software & Services"
"ADAIRS LIMITED",ADH,"Retailing"
"ADALTA LIMITED",1AD,"Pharmaceuticals, Biotechnology & Life Sciences"
"ADAVALE RESOURCES LIMITED",ADD,"Energy"
"ADCORP AUSTRALIA LIMITED",AAU,"Media"
"ADELAIDE BRIGHTON LIMITED",ABC,"Materials"
"ADG GLOBAL SUPPLY LIMITED.",ADQ,"Capital Goods"
"ADHERIUM LIMITED",ADR,"Health Care Equipment & Services"
"ADMEDUS LTD",AHZ,"Health Care Equipment & Services"
"ADMIRALTY RESOURCES NL.",ADY,"Materials"
"ADSLOT LTD",ADJ,"Software & Services"
"ADVANCED BRAKING TECHNOLOGY LTD",ABV,"Automobiles & Components"
"ADVANCED NANO TECHNOLOGIES LIMITED",ANO,"Materials"
"ADVANCED SHARE REGISTRY LIMITED",ASW,"Diversified Financials"
"ADX ENERGY LTD",ADX,"Energy"
"AEERIS LTD",AER,"Software & Services"
"AEON METALS LIMITED.",AML,"Materials"
"AERIS ENVIRONMENTAL LTD",AEI,"Commercial & Professional Services"
"AERIS RESOURCES LIMITED",AIS,"Materials"
"AFRICAN ENERGY RESOURCES LIMITED",AFR,"Energy"
"AFT CORPORATION LIMITED",AFT,"Capital Goods"
"AFT PHARMACEUTICALS LIMITED",AFP,"Pharmaceuticals, Biotechnology & Life Sciences"
"AFTERPAY HOLDINGS LIMITED",AFY,"Software & Services"
"AGL ENERGY LIMITED.",AGL,"Utilities"
"AGRICULTURAL LAND TRUST",AGJ,"Real Estate"
"AGRIMIN LIMITED",AMN,"Materials"
"AGUIA RESOURCES LIMITED",AGR,"Materials"
"AHALIFE HOLDINGS LIMITED",AHL,"Software & Services"
"AIMS PROPERTY SECURITIES FUND",APW,"Real Estate"
"AINSWORTH GAME TECHNOLOGY LIMITED",AGI,"Consumer Services"
"AIR NEW ZEALAND LIMITED",AIZ,"Transportation"
"AIRXPANDERS, INC.",AXP,"Health Care Equipment & Services"
"AJ LUCAS GROUP LIMITED",AJL,"Capital Goods"
"ALACER GOLD CORP.",AQG,"Materials"
"ALARA RESOURCES LIMITED",AUQ,"Materials"
"ALCHEMIA LIMITED",ACL,"Pharmaceuticals, Biotechnology & Life Sciences"
"ALCHEMY RESOURCES LIMITED",ALY,"Materials"
"ALCIDION GROUP LIMITED",ALC,"Health Care Equipment & Services"
"ALDERAN RESOURCES LIMITED",AL8,"Class Pend"
"ALE PROPERTY GROUP",LEP,"Real Estate"
"ALEXIUM INTERNATIONAL GROUP LIMITED",AJX,"Materials"
"ALGAE.TEC LIMITED",AEB,"Energy"
"ALICANTO MINERALS LIMITED",AQI,"Materials"
"ALICE QUEEN LIMITED",AQX,"Energy"
"ALKANE RESOURCES LIMITED",ALK,"Materials"
"ALLEGIANCE COAL LIMITED",AHQ,"Energy"
"ALLEGRA ORTHOPAEDICS LIMITED",AMT,"Health Care Equipment & Services"
"ALLIANCE AVIATION SERVICES LIMITED",AQZ,"Transportation"
"ALLIANCE RESOURCES LIMITED",AGS,"Materials"
"ALLIGATOR ENERGY LIMITED",AGE,"Energy"
"ALLOY RESOURCES LIMITED",AYR,"Materials"
"ALS LIMITED",ALQ,"Commercial & Professional Services"
"ALT RESOURCES LIMITED",ARS,"Materials"
"ALTECH CHEMICALS LTD",ATC,"Materials"
"ALTERNATIVE INVESTMENT TRUST",AIQ,"Not Applic"
"ALTERRA LIMITED",1AG,"Commercial & Professional Services"
"ALTIUM LIMITED",ALU,"Software & Services"
"ALTO METALS LIMITED",AME,"Energy"
"ALTONA MINING LIMITED",AOH,"Materials"
"ALTURA MINING LIMITED",AJM,"Materials"
"ALUMINA LIMITED",AWC,"Materials"
"AMA GROUP LIMITED",AMA,"Retailing"
"AMANI GOLD LIMITED",ANL,"Materials"
"AMAYSIM AUSTRALIA LIMITED",AYS,"Telecommunication Services"
"AMBERTECH LIMITED",AMO,"Technology Hardware & Equipment"
"AMBITION GROUP LIMITED",AMB,"Commercial & Professional Services"
"AMCIL LIMITED",AMH,"Diversified Financials"
"AMCOR LIMITED",AMC,"Materials"
"AMERICAN PATRIOT OIL & GAS LIMITED",AOW,"Energy"
"AMEX RESOURCES LIMITED",AXZ,"Materials"
"AMP LIMITED",AMP,"Insurance"
"ANAECO LIMITED",ANQ,"Commercial & Professional Services"
"ANALYTICA LIMITED",ALT,"Health Care Equipment & Services"
"ANATARA LIFESCIENCES LTD",ANR,"Pharmaceuticals, Biotechnology & Life Sciences"
"ANCHOR RESOURCES LIMITED",AHR,"Materials"
"ANDROMEDA METALS LIMITED",ADN,"Materials"
"ANEKA TAMBANG (PERSERO) TBK (PT)",ATM,"Materials"
"ANGLO AMERICAN CAPITAL PLC",AQM,"Not Applic"
"ANGLO AUSTRALIAN RESOURCES NL",AAR,"Materials"
"ANGLOGOLD ASHANTI LIMITED",AGG,"Materials"
"ANIMOCA BRANDS CORPORATION LIMITED",AB1,"Software & Services"
"ANOVA METALS LIMITED",AWV,"Materials"
"ANSELL LIMITED",ANN,"Health Care Equipment & Services"
"ANSON RESOURCES LIMITED",ASN,"Materials"
"ANTARES ENERGY LIMITED",AZZ,"Energy"
"ANTE REAL ESTATE TRUST",ATT,"Real Estate"
"ANTEO DIAGNOSTICS LIMITED",ADO,"Pharmaceuticals, Biotechnology & Life Sciences"
"ANTILLES OIL AND GAS NL",AVD,"Energy"
"ANTIPA MINERALS LIMITED",AZY,"Materials"
"ANTIPODES GLOBAL INVESTMENT COMPANY LTD",APL,"Not Applic"
"ANTISENSE THERAPEUTICS LIMITED",ANP,"Pharmaceuticals, Biotechnology & Life Sciences"
"AP EAGERS LIMITED",APE,"Retailing"
"APA GROUP",APA,"Utilities"
"APAC COAL LIMITED",AAL,"Energy"
"APHRODITE GOLD LIMITED",AQQ,"Materials"
"APIAM ANIMAL HEALTH LIMITED",AHX,"Health Care Equipment & Services"
"APN OUTDOOR GROUP LIMITED",APO,"Media"
"APN PROPERTY GROUP LIMITED",APD,"Diversified Financials"
"APOLLO CONSOLIDATED LIMITED",AOP,"Materials"
"APOLLO MINERALS LIMITED",AON,"Materials"
"APOLLO SERIES 2010-1 TRUST",AOJ,"Not Applic"
"APOLLO SERIES 2013-1 TRUST",AOR,"Not Applic"
"APOLLO SERIES 2015-1 TRUST",AOL,"Not Applic"
"APOLLO TOURISM & LEISURE LTD",ATL,"Automobiles & Components"
"APPEN LIMITED",APX,"Software & Services"
"APPLYDIRECT LIMITED",AD1,"Software & Services"
"APT PIPELINES LIMITED.",AQH,"Not Applic"
"AQUAINT CAPITAL HOLDINGS LIMITED",AQU,"Consumer Services"
"AQUIS ENTERTAINMENT LIMITED",AQS,"Consumer Services"
"ARAFURA RESOURCES LIMITED",ARU,"Materials"
"ARB CORPORATION LIMITED.",ARB,"Automobiles & Components"
"ARC EXPLORATION LIMITED",ARX,"Materials"
"ARCHER EXPLORATION LIMITED",AXE,"Materials"
"ARDEA RESOURCES LIMITED",ARL,"Materials"
"ARDENT LEISURE GROUP",AAD,"Consumer Services"
"ARDIDEN LTD",ADV,"Materials"
"ARENA REIT.",ARF,"Real Estate"
"ARGENT MINERALS LIMITED",ARD,"Materials"
"ARGO EXPLORATION LIMITED",AXT,"Materials"
"ARGO GLOBAL LISTED INFRASTRUCTURE LIMITED",ALI,"Diversified Financials"
"ARGO INVESTMENTS LIMITED",ARG,"Not Applic"
"ARGONAUT RESOURCES NL",ARE,"Materials"
"ARGOSY MINERALS LIMITED",AGY,"Materials"
"ARIADNE AUSTRALIA LIMITED",ARA,"Commercial & Professional Services"
"ARISTOCRAT LEISURE LIMITED",ALL,"Consumer Services"
"ARK MINES LIMITED",AHK,"Materials"
"ARMOUR ENERGY LIMITED",AJQ,"Energy"
"AROWANA AUSTRALASIAN VALUE OPPORTUNITIES FUND LIMITED",AWQ,"Not Applic"
"AROWANA INTERNATIONAL LIMITED",AWN,"Capital Goods"
"ARRIUM LIMITED",ARI,"Materials"
"ARROWHEAD RESOURCES LIMITED",AR1,"Materials"
"ARTEMIS RESOURCES LIMITED",ARV,"Materials"
"ARUMA RESOURCES LIMITED",AAJ,"Materials"
"ASALEO CARE LIMITED",AHY,"Household & Personal Products"
"ASAPLUS RESOURCES LIMITED",AJY,"Materials"
"ASF GROUP LIMITED",AFA,"Diversified Financials"
"ASHLEY SERVICES GROUP LIMITED",ASH,"Commercial & Professional Services"
"ASIA PACIFIC DATA CENTRE GROUP",AJD,"Real Estate"
"ASIA PACIFIC DIGITAL LIMITED",DIG,"Media"
"ASIAN AMERICAN MEDICAL GROUP LIMITED",AJJ,"Health Care Equipment & Services"
"ASIAN DEVELOPMENT BANK",ATB,"Not Applic"
"ASIAN MASTERS FUND LIMITED",AUF,"Diversified Financials"
"ASIAN MINERAL RESOURCES LIMITED",AM3,"Class Pend"
"ASK FUNDING LIMITED",AKF,"Diversified Financials"
"ASPEN GROUP",APZ,"Real Estate"
"ASPERMONT LIMITED.",ASP,"Media"
"ASPIRE MINING LIMITED",AKM,"Materials"
"ASSEMBLEBAY LIMITED",ASY,"Software & Services"
"ASSETOWL LIMITED",AO1,"Software & Services"
"ASTIVITA LIMITED",AIR,"Capital Goods"
"ASTRO JAPAN PROPERTY GROUP",AJA,"Real Estate"
"ASTRO RESOURCES NL",ARO,"Materials"
"ASTRON CORPORATION LIMITED",ATR,"Materials"
"ASX LIMITED",ASX,"Diversified Financials"
"ATC ALLOYS LTD",ATA,"Materials"
"ATCOR MEDICAL HOLDINGS LIMITED",ACG,"Health Care Equipment & Services"
"ATHENA RESOURCES LIMITED",AHN,"Materials"
"ATLAS IRON LIMITED",AGO,"Materials"
"ATLAS PEARLS AND PERFUMES LTD",ATP,"Consumer Durables & Apparel"
"ATRUM COAL LIMITED",ATU,"Materials"
"ATTILA RESOURCES LIMITED",AYA,"Materials"
"AUB GROUP LIMITED",AUB,"Insurance"
"AUCKLAND INTERNATIONAL AIRPORT LIMITED",AIA,"Transportation"
"AUDALIA RESOURCES LIMITED",ACP,"Materials"
"AUDIO PIXELS HOLDINGS LIMITED",AKP,"Consumer Durables & Apparel"
"AUGEND LTD",AUG,"Energy"
"AURA ENERGY LIMITED",AEE,"Energy"
"AURELIA METALS LIMITED",AMI,"Materials"
"AURIS MINERALS LIMITED",AUR,"Materials"
"AURIZON HOLDINGS LIMITED",AZJ,"Transportation"
"AUROCH MINERALS LTD",AOU,"Materials"
"AURORA ABSOLUTE RETURN FUND",ABW,"Not Applic"
"AURORA DIVIDEND INCOME TRUST (MANAGED FUND)",AOD,"Not Applic"
"AURORA GLOBAL INCOME TRUST",AIB,"Diversified Financials"
"AURORA LABS LIMITED",A3D,"Capital Goods"
"AURORA MINERALS LIMITED",ARM,"Materials"
"AURORA PROPERTY BUY-WRITE INCOME TRUST",AUP,"Not Applic"
"AUS ASIA MINERALS LIMITED",AQJ,"Energy"
"AUS TIN MINING LTD",ANW,"Materials"
"AUSCANN GROUP HOLDINGS LTD",AC8,"Pharmaceuticals, Biotechnology & Life Sciences"
"AUSDRILL LIMITED",ASL,"Materials"
"AUSGOLD LIMITED",AUC,"Materials"
"AUSMEX MINING GROUP LIMITED",AMG,"Materials"
"AUSMON RESOURCES LIMITED",AOA,"Materials"
"AUSNET FINANCIAL SERVICES LIMITED",AU1,"Real Estate"
"AUSNET SERVICES HOLDINGS PTY LTD",ANV,"Not Applic"
"AUSNET SERVICES LIMITED",AST,"Utilities"
"AUSQUEST LIMITED",AQD,"Materials"
"AUSROC METALS LTD",ARK,"Materials"
"AUSTAL LIMITED",ASB,"Capital Goods"
"AUSTEX OIL LIMITED",AOK,"Energy"
"AUSTIN ENGINEERING LIMITED",ANG,"Capital Goods"
"AUSTIN EXPLORATION LIMITED",AKK,"Energy"
"AUSTOCK GROUP LIMITED",ACK,"Insurance"
"AUSTPAC RESOURCES NL",APG,"Materials"
"AUSTRAL GOLD LIMITED",AGD,"Materials"
"AUSTRALASIAN RESOURCES LIMITED",ARH,"Materials"
"AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED",ANZ,"Banks"
"AUSTRALIA UNITED MINING LIMITED",AYM,"Materials"
"AUSTRALIAN AGRICULTURAL COMPANY LIMITED.",AAC,"Food, Beverage & Tobacco"
"AUSTRALIAN AGRICULTURAL PROJECTS LIMITED",AAP,"Food, Beverage & Tobacco"
"AUSTRALIAN BAUXITE LIMITED.",ABX,"Materials"
"AUSTRALIAN CAREERS NETWORK LIMITED",ACO,"Consumer Services"
"AUSTRALIAN COMMONWEALTH GOVERNMENT LOANS",XCL,"Not Applic"
"AUSTRALIAN DAIRY FARMS GROUP",AHF,"Food, Beverage & Tobacco"
"AUSTRALIAN ENHANCED INCOME FUND",AYF,"Not Applic"
"AUSTRALIAN ETHICAL INVESTMENT LIMITED",AEF,"Diversified Financials"
"AUSTRALIAN FINANCE GROUP LTD",AFG,"Banks"
"AUSTRALIAN FOUNDATION INVESTMENT COMPANY LIMITED",AFI,"Not Applic"
"AUSTRALIAN GOVERNANCE MASTERS INDEX FUND LIMITED",AQF,"Diversified Financials"
"AUSTRALIAN GOVERNMENT TREASURY BONDS",GSB,"Not Applic"
"AUSTRALIAN GOVERNMENT TREASURY INDEXED BONDS",GSI,"Not Applic"
"AUSTRALIAN LEADERS FUND LIMITED",ALF,"Diversified Financials"
"AUSTRALIAN MASTERS YIELD FUND NO 1 LIMITED",AYD,"Not Applic"
"AUSTRALIAN MASTERS YIELD FUND NO 2 LIMITED",AYH,"Not Applic"
"AUSTRALIAN MASTERS YIELD FUND NO 3 LIMITED",AYJ,"Not Applic"
